epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.4333825055697952,0.8574596135571745,0.14402556944299827,0.9630681818181818
2,0.1328337411349169,0.9629394995248653,0.055655511604114014,0.9886363636363636
3,0.09424158037085124,0.9746594868546088,0.04634520150615241,0.9914772727272727
4,0.07436570515291709,0.9787773202407348,0.044170338004319507,0.9886363636363636
5,0.06265783633782783,0.9822616407982262,0.0698323807340454,0.9772727272727273
6,0.061733245463910125,0.9809946151409566,0.06589261529205198,0.9730113636363636
7,0.06960165692314581,0.9778270509977827,0.038727190663022076,0.9928977272727273
8,0.04233651126810171,0.988596769084574,0.02048771350051869,0.9928977272727273
9,0.04644626529882615,0.9866962305986696,0.014739775098860264,0.9971590909090909
10,0.042930622239399585,0.9876464998416218,0.031199302476703782,0.9886363636363636
11,0.038026082475853124,0.9879632562559392,0.022370487626176327,0.9957386363636364
12,0.04649258014802454,0.9873297434273044,0.0276383719534682,0.9914772727272727
13,0.036744671051785575,0.9892302819132087,0.02046730178831653,0.9928977272727273
14,0.03525082293352244,0.988596769084574,0.029120056985200128,0.9886363636363636
15,0.05329308469869159,0.9832119100411784,0.016767693577672948,0.9971590909090909
16,0.04460383363825391,0.9844789356984479,0.026230610547248612,0.9914772727272727
17,0.034683844981235314,0.9898637947418435,0.027005642059851776,0.9928977272727273
18,0.05366961812398237,0.9790940766550522,0.02321321866739626,0.9943181818181818
19,0.042565158086786556,0.9847956921127653,0.029094420521604745,0.9943181818181818
20,0.0319677259840043,0.9892302819132087,0.009583579244049774,0.9971590909090909
21,0.02984503289329528,0.9898637947418435,0.019918874424712903,0.9943181818181818
22,0.032029496537606145,0.9908140639847957,0.015167204260995442,0.9957386363636364
23,0.0355237738395138,0.9882800126702566,0.017293785902438685,0.9943181818181818
24,0.04506493847866571,0.9841621792841305,0.012741865332248959,0.9943181818181818
25,0.02930209243251481,0.9920810896420652,0.03138642636159519,0.9914772727272727
26,0.04866591483152312,0.9847956921127653,0.008757202769629657,0.9985795454545454
27,0.05206027744347324,0.9825783972125436,0.05054773973428051,0.9744318181818182
28,0.05153887506487375,0.982895153626861,0.017242214587895432,0.9957386363636364
29,0.0486730795784035,0.9847956921127653,0.020140941253802423,0.9914772727272727
